num_dol,num_btfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_btfe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
3,0,1,0,1,1O:1O:1O,,1O,,,2772,14.002828854314004,Cluster_037_017.xyz
2,0,1,1,1,1O:1O,,1O,1S,,2745,13.866437664174581,Cluster_084_051.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2501,12.633865427359062,Cluster_003_145.xyz
2,0,1,0,1,1O:1O,,1O,,,1930,9.749444332188322,Cluster_034_148.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1332,6.7286320468781575,Cluster_081_091.xyz
2,0,0,1,1,1O:1O,,,1S,,1085,5.480905233380481,Cluster_065_078.xyz
1,0,1,1,1,1O,,1O,1S,,897,4.531218427965245,Cluster_032_109.xyz
3,0,0,0,1,1O:1O:1O,,,,,843,4.258436047686401,Cluster_086_183.xyz
1,0,2,1,1,1O,,1O:1O,1S,,820,4.142250959789856,Cluster_014_106.xyz
1,0,2,0,1,1O,,1O:1O,,,753,3.803798747221661,Cluster_054_076.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,589,2.9753485552636896,Cluster_099_115.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,333,1.6821580117195394,Cluster_068_052.xyz
2,0,0,0,1,1O:1O,,,,,306,1.5457668215801172,Cluster_073_077.xyz
1,0,1,0,1,1O,,1O,,,278,1.4043241058799758,Cluster_058_080.xyz
1,0,0,1,1,1O,,,1S,,225,1.1365932511618508,Cluster_048_151.xyz
2,0,1,0,1,1O:1O,,2O,,,224,1.1315417256011315,Cluster_038_185.xyz
1,0,2,0,1,1O,,1O:2O,,,204,1.0305112143867448,Cluster_001_011.xyz
1,0,1,1,1,1O,,2O,1S,,122,0.6162861184077592,Cluster_038_169.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,114,0.5758739139220045,Cluster_072_122.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,109,0.5506162861184077,Cluster_086_102.xyz
1,0,0,1,1,1O,,,2S,,102,0.5152556071933724,Cluster_009_096.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,93,0.46979187714689835,Cluster_002_003.xyz
0,0,2,1,1,,,1O:1O,1S,,89,0.449585774904021,Cluster_043_180.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,86,0.434431198221863,Cluster_074_079.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,80,0.404122044857547,Cluster_077_079.xyz
1,0,1,0,1,1O,,2O,,,77,0.38896746817538896,Cluster_020_135.xyz
0,0,1,1,1,,,1O,1S,,74,0.37381289149323094,Cluster_048_041.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,64,0.3232976358860376,Cluster_041_071.xyz
2,0,0,1,1,1O:1O,,,2S,,60,0.3030915336431602,Cluster_011_077.xyz
0,0,3,0,1,,,1O:1O:1O,,,48,0.2424732269145282,Cluster_077_043.xyz
1,0,1,1,1,1O,,1O,2S,,47,0.23742170135380886,Cluster_005_178.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,45,0.2273186502323702,Cluster_020_151.xyz
1,0,0,0,1,1O,,,,,42,0.21216407355021216,Cluster_003_014.xyz
0,0,2,1,1,,,1O:2O,1S,,38,0.1919579713073348,Cluster_032_076.xyz
0,0,2,0,1,,,1O:1O,,,38,0.1919579713073348,Cluster_044_098.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,34,0.17175186906445747,Cluster_082_013.xyz
0,0,0,1,1,,,,1S,,32,0.1616488179430188,Cluster_060_119.xyz
0,0,3,1,1,,,1O:1O:1O,1S,,30,0.1515457668215801,Cluster_029_175.xyz
0,0,1,1,1,,,2O,1S,,29,0.14649424126086077,Cluster_074_013.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,28,0.14144271570014144,Cluster_036_195.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,27,0.1363911901394221,Cluster_097_019.xyz
0,0,1,1,1,,,1O,2S,,26,0.13133966457870277,Cluster_047_128.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,26,0.13133966457870277,Cluster_041_041.xyz
0,0,1,9,1,,,2O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,25,0.12628813901798344,Cluster_055_013.xyz
0,0,0,9,1,,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,22,0.11113356233582541,Cluster_069_119.xyz
0,0,3,0,1,,,1O:1O:2O,,,20,0.10103051121438675,Cluster_081_134.xyz
0,0,0,9,1,,,,1S:1S:1S:1S:1S:1S:1S:1S:2S,,19,0.0959789856536674,Cluster_090_119.xyz
0,0,0,1,1,,,,2S,,19,0.0959789856536674,Cluster_051_119.xyz
0,0,1,0,1,,,1O,,,19,0.0959789856536674,Cluster_043_128.xyz
0,0,2,0,1,,,1O:2O,,,18,0.09092746009294807,Cluster_081_169.xyz
0,0,0,9,1,,,,:::::1S:1S:1S:1S,,16,0.0808244089715094,Cluster_052_119.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,16,0.0808244089715094,Cluster_006_073.xyz
