num_dol,num_degdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_degdme,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,2,0,0,1,,2O:3O,,,,4429,22.373206708425943,Cluster_003_145.xyz
0,2,0,0,1,,2O:2O,,,,3228,16.30632451000202,Cluster_001_011.xyz
1,1,0,1,1,1O,2O,,1S,,2979,15.048494645382906,Cluster_034_148.xyz
0,2,0,0,1,,3O:3O,,,,1479,7.4712063043039,Cluster_092_169.xyz
1,1,1,0,1,1O,3O,1O,,,1353,6.834714083653263,Cluster_054_180.xyz
1,1,0,1,1,1O,3O,,1S,,1080,5.4556476055768846,Cluster_054_076.xyz
2,1,0,0,1,1O:1O,3O,,,,938,4.738330975954739,Cluster_099_115.xyz
2,1,0,0,1,1O:1O,2O,,,,645,3.2582339866639725,Cluster_011_066.xyz
1,1,1,0,1,1O,2O,1O,,,622,3.1420488987674275,Cluster_003_070.xyz
0,1,0,1,1,,3O,,1S,,332,1.6771064861588199,Cluster_051_037.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,247,1.2477268134976762,Cluster_009_035.xyz
2,0,1,1,1,1O:1O,,1O,1S,,225,1.1365932511618508,Cluster_000_055.xyz
0,1,1,1,1,,2O,1O,1S,,202,1.0204081632653061,Cluster_024_089.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,166,0.8385532430794099,Cluster_098_073.xyz
0,1,2,0,1,,3O,1O:1O,,,160,0.808244089715094,Cluster_009_096.xyz
1,1,0,1,1,1O,2O,,2S,,147,0.7425742574257426,Cluster_041_071.xyz
1,1,0,0,1,1O,3O,,,,126,0.6364922206506365,Cluster_010_005.xyz
0,1,1,1,1,,3O,1O,1S,,102,0.5152556071933724,Cluster_077_079.xyz
0,1,0,1,1,,2O,,1S,,84,0.4243281471004243,Cluster_002_003.xyz
0,1,0,1,1,,3O,,2S,,75,0.3788644170539503,Cluster_053_010.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,74,0.37381289149323094,Cluster_039_189.xyz
0,2,0,1,1,,1O:2O,,1S,,69,0.34855526368963424,Cluster_077_064.xyz
0,1,0,1,1,,2O,,2S,,55,0.2778339058395635,Cluster_061_073.xyz
0,2,0,0,1,,1O:3O,,,,54,0.2727823802788442,Cluster_028_145.xyz
0,1,1,0,1,,3O,1O,,,48,0.2424732269145282,Cluster_020_135.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,41,0.20711254798949283,Cluster_068_146.xyz
2,0,0,1,1,1O:1O,,,1S,,40,0.2020610224287735,Cluster_049_118.xyz
0,1,1,0,1,,3O,2O,,,40,0.2020610224287735,Cluster_031_141.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,39,0.19700949686805416,Cluster_098_000.xyz
0,1,2,0,1,,2O,1O:1O,,,35,0.1768033946251768,Cluster_025_194.xyz
1,1,0,1,1,1O,3O,,2S,,35,0.1768033946251768,Cluster_020_052.xyz
1,1,0,0,1,1O,2O,,,,33,0.16670034350373814,Cluster_061_036.xyz
0,2,1,0,1,,1O:3O,1O,,,27,0.1363911901394221,Cluster_100_072.xyz
1,1,0,1,1,1O,1O,,1S,,27,0.1363911901394221,Cluster_075_006.xyz
1,1,1,0,1,1O,3O,2O,,,23,0.11618508789654476,Cluster_027_160.xyz
0,1,0,1,1,,2O,,3S,,22,0.11113356233582541,Cluster_006_114.xyz
0,1,1,1,1,,2O,1O,2S,,22,0.11113356233582541,Cluster_066_010.xyz
0,1,0,9,1,,2O,,:::::1S:1S:1S:1S,,20,0.10103051121438675,Cluster_052_024.xyz
1,1,1,1,1,1O,1O,1O,1S,,20,0.10103051121438675,Cluster_061_040.xyz
0,2,0,0,1,,1O:2O,,,,20,0.10103051121438675,Cluster_007_155.xyz
1,2,0,0,1,1O,1O:3O,,,,19,0.0959789856536674,Cluster_026_121.xyz
1,1,1,0,1,1O,2O,2O,,,19,0.0959789856536674,Cluster_030_160.xyz
2,1,1,0,1,1O:1O,2O,1O,,,17,0.08587593453222873,Cluster_001_125.xyz
0,2,0,1,1,,1O:3O,,1S,,17,0.08587593453222873,Cluster_060_059.xyz
1,2,0,0,1,1O,1O:2O,,,,17,0.08587593453222873,Cluster_068_104.xyz
0,1,2,0,1,,3O,1O:2O,,,17,0.08587593453222873,Cluster_036_045.xyz
1,0,1,1,1,1O,,2O,1S,,16,0.0808244089715094,Cluster_061_118.xyz
0,2,1,0,1,,1O:2O,1O,,,16,0.0808244089715094,Cluster_021_008.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,13,0.06566983228935139,Cluster_008_146.xyz
2,0,0,1,1,1O:1O,,,2S,,13,0.06566983228935139,Cluster_019_130.xyz
2,0,1,1,1,1O:1O,,1O,2S,,12,0.06061830672863205,Cluster_079_035.xyz
1,0,2,1,1,1O,,1O:1O,1S,,11,0.05556678116791271,Cluster_027_142.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,11,0.05556678116791271,Cluster_014_189.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_067_189.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,10,0.050515255607193374,Cluster_061_080.xyz
1,1,2,0,1,1O,2O,1O:1O,,,9,0.045463730046474034,Cluster_026_022.xyz
