num_dol,num_dma,num_tfsi,num_ps,num_li,atoms_dol,atoms_dma,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,3,0,0,1,1O,1O:1O:1O,,,,4630,23.388563346130532,Cluster_099_115.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,2711,13.694685795110123,Cluster_003_145.xyz
1,2,0,1,1,1O,1O:1O,,1S,,2039,10.300060618306729,Cluster_034_148.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,1550,7.829864619114972,Cluster_013_187.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,1122,5.667811679127096,Cluster_092_169.xyz
1,2,1,0,1,1O,1O:1O,1O,,,1086,5.4859567589412,Cluster_013_061.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,966,4.87977369165488,Cluster_037_017.xyz
2,1,0,1,1,1O:1O,1O,,1S,,906,4.576682158011719,Cluster_068_052.xyz
1,2,0,0,1,1O,1O:1O,,,,789,3.985653667407557,Cluster_014_106.xyz
0,3,0,0,1,,1O:1O:1O,,,,633,3.1976156799353403,Cluster_068_183.xyz
0,2,0,1,1,,1O:1O,,1S,,555,2.8035966861992323,Cluster_065_078.xyz
1,1,0,1,1,1O,1O,,1S,,410,2.071125479894928,Cluster_008_156.xyz
1,1,1,1,1,1O,1O,1O,1S,,376,1.8993736108304708,Cluster_054_180.xyz
0,2,1,1,1,,1O:1O,1O,1S,,253,1.2780359668619923,Cluster_001_011.xyz
2,1,0,0,1,1O:1O,1O,,,,211,1.0658718933117801,Cluster_079_031.xyz
2,1,1,0,1,1O:1O,1O,1O,,,134,0.6769044251363912,Cluster_068_153.xyz
0,2,1,0,1,,1O:1O,1O,,,118,0.5960800161648818,Cluster_100_110.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,104,0.5253586583148111,Cluster_030_160.xyz
2,0,1,1,1,1O:1O,,1O,1S,,103,0.5203071327540917,Cluster_039_142.xyz
1,1,1,0,1,1O,1O,1O,,,75,0.3788644170539503,Cluster_032_109.xyz
0,2,0,0,1,,1O:1O,,,,68,0.34350373812891494,Cluster_072_072.xyz
2,0,0,1,1,1O:1O,,,1S,,63,0.31824611032531824,Cluster_014_149.xyz
1,1,0,9,1,1O,1O,,:::::1S:1S:1S:1S,,63,0.31824611032531824,Cluster_069_149.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,60,0.3030915336431602,Cluster_040_066.xyz
0,1,0,1,1,,1O,,1S,,53,0.26773085471812486,Cluster_095_156.xyz
0,2,0,1,1,,1O:1O,,2S,,52,0.26267932915740555,Cluster_030_129.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,52,0.26267932915740555,Cluster_051_119.xyz
1,1,0,0,1,1O,1O,,,,35,0.1768033946251768,Cluster_015_157.xyz
0,1,1,1,1,,1O,1O,1S,,35,0.1768033946251768,Cluster_041_180.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,35,0.1768033946251768,Cluster_018_074.xyz
1,1,0,1,1,1O,1O,,2S,,34,0.17175186906445747,Cluster_010_157.xyz
1,1,2,0,1,1O,1O,1O:1O,,,33,0.16670034350373814,Cluster_061_181.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,30,0.1515457668215801,Cluster_015_153.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,27,0.1363911901394221,Cluster_098_084.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,26,0.13133966457870277,Cluster_060_119.xyz
1,0,1,1,1,1O,,1O,1S,,26,0.13133966457870277,Cluster_041_074.xyz
1,0,0,1,1,1O,,,1S,,22,0.11113356233582541,Cluster_069_119.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,22,0.11113356233582541,Cluster_015_026.xyz
0,2,1,0,1,,1O:1O,2O,,,21,0.10608203677510608,Cluster_047_113.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,20,0.10103051121438675,Cluster_021_154.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,16,0.0808244089715094,Cluster_069_116.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,15,0.07577288341079005,Cluster_000_158.xyz
0,1,2,1,1,,1O,1O:1O,1S,,15,0.07577288341079005,Cluster_098_044.xyz
