num_dmt,num_tfsi,num_dol,num_ps,num_li,atoms_dmt,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%,cluster
4,0,0,0,1,1O:1O:1O:1O,,,,,3215,16.24065467771267,Cluster_051_037.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,2881,14.55344514043241,Cluster_003_145.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,2387,12.057991513437058,Cluster_037_017.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,2055,10.380885027278238,Cluster_034_148.xyz
2,0,1,1,1,1O:1O,,1O,1S,,1781,8.996767023641139,Cluster_041_180.xyz
2,1,1,0,1,1O:1O,1O,1O,,,1249,6.3093554253384525,Cluster_054_180.xyz
2,1,0,1,1,1O:1O,1O,,1S,,1041,5.25863810870883,Cluster_092_169.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,435,2.1974136189129116,Cluster_054_076.xyz
3,0,0,0,1,1O:1O:1O,,,,,391,1.9751464942412609,Cluster_001_085.xyz
1,1,1,1,1,1O,1O,1O,1S,,362,1.8286522529804001,Cluster_008_156.xyz
1,0,2,1,1,1O,,1O:1O,1S,,325,1.6417458072337845,Cluster_005_136.xyz
4,1,0,0,1,1O:1O:1O:1O,1O,,,,323,1.6316427561123459,Cluster_068_030.xyz
2,0,0,1,1,1O:1O,,,1S,,320,1.616488179430188,Cluster_043_180.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,240,1.2123661345726409,Cluster_023_156.xyz
3,1,1,0,1,1O:1O:1O,1O,1O,,,209,1.0557688421903415,Cluster_081_091.xyz
3,2,0,0,1,1O:1O:1O,1O:1O,,,,190,0.959789856536674,Cluster_093_181.xyz
2,0,1,0,1,1O:1O,,1O,,,153,0.7728834107900586,Cluster_067_123.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,134,0.6769044251363912,Cluster_099_008.xyz
1,1,2,0,1,1O,1O,1O:1O,,,128,0.6465952717720752,Cluster_006_150.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,119,0.6011315417256011,Cluster_057_189.xyz
5,0,0,0,1,1O:1O:1O:1O:1O,,,,,113,0.5708223883612851,Cluster_008_135.xyz
2,0,0,1,1,1O:1O,,,2S,,109,0.5506162861184077,Cluster_022_116.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,109,0.5506162861184077,Cluster_039_080.xyz
1,0,1,1,1,1O,,1O,1S,,91,0.4596888260254597,Cluster_087_071.xyz
3,1,0,0,1,1O:1O:1O,2O,,,,90,0.4546373004647404,Cluster_064_126.xyz
2,2,1,0,1,1O:1O,1O:1O,1O,,,80,0.404122044857547,Cluster_041_074.xyz
1,2,1,0,1,1O,1O:1O,1O,,,80,0.404122044857547,Cluster_025_150.xyz
2,1,0,0,1,1O:1O,1O,,,,76,0.3839159426146696,Cluster_022_157.xyz
2,0,1,1,1,1O:1O,,1O,2S,,73,0.36876136593251163,Cluster_069_093.xyz
2,1,0,1,1,1O:1O,1O,,2S,,70,0.3536067892503536,Cluster_010_167.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,68,0.34350373812891494,Cluster_041_071.xyz
1,2,0,1,1,1O,1O:1O,,1S,,61,0.3081430592038796,Cluster_062_127.xyz
2,2,0,0,1,1O:1O,1O:2O,,,,53,0.26773085471812486,Cluster_023_044.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,46,0.23237017579308952,Cluster_033_020.xyz
2,1,1,0,1,1O:1O,2O,1O,,,39,0.19700949686805416,Cluster_010_020.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,35,0.1768033946251768,Cluster_020_049.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,33,0.16670034350373814,Cluster_020_186.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,33,0.16670034350373814,Cluster_021_014.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,32,0.1616488179430188,Cluster_007_018.xyz
1,0,1,1,1,1O,,1O,2S,,28,0.14144271570014144,Cluster_010_144.xyz
2,1,0,0,1,1O:1O,2O,,,,25,0.12628813901798344,Cluster_076_123.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,24,0.1212366134572641,Cluster_023_041.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,22,0.11113356233582541,Cluster_050_077.xyz
1,1,1,0,1,1O,1O,1O,,,22,0.11113356233582541,Cluster_010_127.xyz
1,0,2,0,1,1O,,1O:1O,,,19,0.0959789856536674,Cluster_096_047.xyz
2,0,0,1,1,1O:1O,,,3S,,19,0.0959789856536674,Cluster_057_124.xyz
1,0,0,1,1,1O,,,2S,,19,0.0959789856536674,Cluster_018_194.xyz
1,1,1,1,1,1O,1O,1O,2S,,14,0.07072135785007072,Cluster_094_060.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,14,0.07072135785007072,Cluster_014_186.xyz
1,2,2,0,1,1O,1O:1O,1O:1O,,,13,0.06566983228935139,Cluster_020_150.xyz
1,2,1,0,1,1O,1O:2O,1O,,,12,0.06061830672863205,Cluster_027_150.xyz
1,1,0,1,1,1O,1O,,1S,,11,0.05556678116791271,Cluster_098_060.xyz
4,1,0,0,1,1O:1O:1O:1O,2O,,,,11,0.05556678116791271,Cluster_062_021.xyz
0,0,2,9,1,,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_003_014.xyz
4,0,0,1,1,1O:1O:1O:1O,,,1S,,10,0.050515255607193374,Cluster_013_055.xyz
0,1,1,9,1,,1O,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_023_014.xyz
1,0,2,1,1,1O,,1O:1O,2S,,10,0.050515255607193374,Cluster_058_139.xyz
2,1,1,1,1,1O:1O,1O,1O,1S,,9,0.045463730046474034,Cluster_074_173.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,9,0.045463730046474034,Cluster_098_188.xyz
1,1,2,0,1,1O,2O,1O:1O,,,8,0.0404122044857547,Cluster_025_091.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,7,0.03536067892503536,Cluster_038_049.xyz
2,0,0,0,1,1O:1O,,,,,7,0.03536067892503536,Cluster_098_178.xyz
