num_dol,num_tep,num_tfsi,num_ps,num_li,atoms_dol,atoms_tep,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,2,1,0,1,1O,1O:1O,1O,,,2269,11.461911497272176,Cluster_003_145.xyz
2,1,1,0,1,1O:1O,1O,1O,,,1744,8.809860577894524,Cluster_008_156.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,1224,6.183067286320469,Cluster_098_073.xyz
1,2,0,0,1,1O,1O:1O,,,,1126,5.6880177813699735,Cluster_030_045.xyz
1,1,0,1,1,1O,1O,,1S,,1066,5.384926247726813,Cluster_020_085.xyz
2,1,0,0,1,1O:1O,1O,,,,988,4.990907253990705,Cluster_065_106.xyz
2,1,0,1,1,1O:1O,1O,,1S,,908,4.586785209133158,Cluster_034_148.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,850,4.293796726611436,Cluster_057_124.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,816,4.122044857546979,Cluster_099_115.xyz
1,1,1,0,1,1O,1O,1O,,,744,3.758335017175187,Cluster_051_037.xyz
0,2,0,1,1,,1O:1O,,1S,,699,3.5310163669428167,Cluster_032_117.xyz
1,1,1,1,1,1O,1O,1O,1S,,597,3.0157607597494445,Cluster_093_181.xyz
1,1,2,0,1,1O,1O,1O:1O,,,549,2.773287532834916,Cluster_050_077.xyz
2,0,1,1,1,1O:1O,,1O,1S,,483,2.43988684582744,Cluster_076_121.xyz
0,2,1,0,1,,1O:1O,1O,,,462,2.333804809052334,Cluster_003_014.xyz
0,3,0,0,1,,1O:1O:1O,,,,442,2.2327742978379472,Cluster_058_116.xyz
0,2,0,0,1,,1O:1O,,,,433,2.187310567791473,Cluster_068_052.xyz
1,1,0,0,1,1O,1O,,,,405,2.0458678520913316,Cluster_001_011.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,398,2.010507173166296,Cluster_054_180.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,383,1.9347342897555062,Cluster_025_050.xyz
1,2,0,1,1,1O,1O:1O,,1S,,354,1.7882400484946455,Cluster_030_125.xyz
2,0,0,1,1,1O:1O,,,1S,,284,1.4346332592442919,Cluster_054_076.xyz
2,0,1,0,1,1O:1O,,1O,,,227,1.1466963022832894,Cluster_068_183.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,199,1.005253586583148,Cluster_086_183.xyz
0,1,1,1,1,,1O,1O,1S,,174,0.8789654475651647,Cluster_092_169.xyz
3,0,0,0,1,1O:1O:1O,,,,,171,0.8638108708830067,Cluster_084_189.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,171,0.8638108708830067,Cluster_020_034.xyz
0,1,0,1,1,,1O,,1S,,170,0.8587593453222874,Cluster_060_044.xyz
1,0,1,1,1,1O,,1O,1S,,131,0.6617498484542331,Cluster_015_175.xyz
0,2,1,1,1,,1O:1O,1O,1S,,129,0.6516467973327945,Cluster_022_012.xyz
0,2,1,0,1,,1O:1O,2O,,,99,0.5001010305112144,Cluster_081_034.xyz
2,0,0,0,1,1O:1O,,,,,83,0.41927662153970496,Cluster_031_027.xyz
1,1,1,0,1,1O,1O,2O,,,72,0.36370984037179227,Cluster_065_162.xyz
0,1,1,0,1,,1O,1O,,,67,0.3384522125681956,Cluster_087_039.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,66,0.33340068700747627,Cluster_047_056.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,65,0.3283491614467569,Cluster_044_098.xyz
1,0,2,1,1,1O,,1O:1O,1S,,63,0.31824611032531824,Cluster_037_175.xyz
1,0,1,0,1,1O,,1O,,,46,0.23237017579308952,Cluster_002_127.xyz
0,1,0,0,1,,1O,,,,45,0.2273186502323702,Cluster_087_107.xyz
0,1,1,1,1,,1O,2O,1S,,44,0.22226712467165083,Cluster_059_044.xyz
1,0,0,1,1,1O,,,1S,,37,0.18690644574661547,Cluster_081_100.xyz
1,1,0,1,1,1O,1O,,2S,,35,0.1768033946251768,Cluster_097_112.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,28,0.14144271570014144,Cluster_079_132.xyz
1,0,2,0,1,1O,,1O:1O,,,25,0.12628813901798344,Cluster_075_175.xyz
0,2,0,1,1,,1O:1O,,2S,,24,0.1212366134572641,Cluster_038_045.xyz
1,0,1,1,1,1O,,2O,1S,,24,0.1212366134572641,Cluster_022_161.xyz
0,1,2,0,1,,1O,1O:1O,,,23,0.11618508789654476,Cluster_061_040.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,22,0.11113356233582541,Cluster_079_107.xyz
0,1,2,0,1,,1O,1O:2O,,,21,0.10608203677510608,Cluster_083_001.xyz
0,1,1,0,1,,1O,2O,,,20,0.10103051121438675,Cluster_100_169.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,19,0.0959789856536674,Cluster_068_153.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,16,0.0808244089715094,Cluster_038_027.xyz
0,0,2,1,1,,,1O:1O,1S,,16,0.0808244089715094,Cluster_061_175.xyz
2,0,1,0,1,1O:1O,,2O,,,12,0.06061830672863205,Cluster_080_032.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,12,0.06061830672863205,Cluster_013_103.xyz
0,1,0,1,1,,1O,,2S,,11,0.05556678116791271,Cluster_043_128.xyz
